iteration,view_uid,mode,reliability_mean,dynamic_ratio,dynamic_score_mean,uncertainty_score_mean,rgb_score_mean,depth_score_mean
200,2,full,0.5810655355453491,0.3718923032283783,0.47383368015289307,0.6940719485282898,0.34637516736984253,0.20135001838207245
400,3,full,0.6021150946617126,0.3398692011833191,0.5137128233909607,0.7521044611930847,0.40389499068260193,0.16951295733451843
600,8,full,0.6067278385162354,0.2987162470817566,0.49750611186027527,0.6810940504074097,0.4414050281047821,0.18261025846004486
800,9,full,0.5612554550170898,0.3465220332145691,0.5408431887626648,0.6548298597335815,0.43935877084732056,0.46197080612182617
1000,1,full,0.5994061827659607,0.2941131591796875,0.5271984934806824,0.7466319799423218,0.41591379046440125,0.22822165489196777
1200,4,full,0.6305075883865356,0.2559153437614441,0.49480241537094116,0.7366689443588257,0.39459168910980225,0.1259714812040329
1400,5,full,0.5470806956291199,0.354156494140625,0.5479633808135986,0.7322165369987488,0.39304134249687195,0.404507577419281
1600,7,full,0.5735096335411072,0.3717142939567566,0.5180149078369141,0.681117057800293,0.42110833525657654,0.3206217288970947
1800,5,full,0.5520984530448914,0.3564860224723816,0.5488789081573486,0.7256299257278442,0.4036349654197693,0.4053661823272705
2000,1,full,0.5477633476257324,0.3781890869140625,0.5524697303771973,0.7575733661651611,0.4247819781303406,0.31444019079208374
2200,14,full,0.5520105361938477,0.3185933530330658,0.5112729072570801,0.6795200705528259,0.4055406451225281,0.3177485167980194
2400,1,full,0.5773590207099915,0.33636474609375,0.5382317304611206,0.7523212432861328,0.4190913140773773,0.2650262713432312
2600,13,full,0.6205481886863708,0.3129069209098816,0.5096568465232849,0.707268476486206,0.44486677646636963,0.17841333150863647
2800,8,full,0.5947909355163574,0.3098246455192566,0.5193513631820679,0.7044291496276855,0.46873968839645386,0.19149690866470337
3000,1,full,0.5360230207443237,0.3871104121208191,0.5501863956451416,0.7482966184616089,0.4698491096496582,0.24502889811992645
3200,15,full,0.6155888438224792,0.2777150571346283,0.49166977405548096,0.702325701713562,0.40558433532714844,0.16834357380867004
3400,13,full,0.5913405418395996,0.3164571225643158,0.5027899742126465,0.7121583819389343,0.42355918884277344,0.17036519944667816
3600,4,full,0.6321200728416443,0.2288869321346283,0.5025157928466797,0.7685524821281433,0.3706204891204834,0.1347503662109375
3800,17,full,0.593475341796875,0.316131591796875,0.5151787996292114,0.6593375205993652,0.4253982901573181,0.347937673330307
4000,9,full,0.5589560270309448,0.363250732421875,0.5322349071502686,0.6509978175163269,0.43122777342796326,0.44178077578544617
4200,5,full,0.5435607433319092,0.3718312680721283,0.5574438571929932,0.7593718767166138,0.39903396368026733,0.3803231716156006
4400,17,full,0.5825473070144653,0.3099924921989441,0.5272083282470703,0.650066077709198,0.4349989593029022,0.41214489936828613
4600,17,full,0.5859580636024475,0.3087514340877533,0.535648763179779,0.6682483553886414,0.4290428161621094,0.42386025190353394
4800,6,full,0.5573696494102478,0.3858235776424408,0.5429444313049316,0.7130187749862671,0.4550471305847168,0.3140973150730133
5000,15,full,0.6369588971138,0.2644246518611908,0.4846646189689636,0.7028598785400391,0.3842363953590393,0.16947448253631592
5200,2,full,0.6210036277770996,0.2896881103515625,0.49630650877952576,0.7186478972434998,0.3960317075252533,0.17151927947998047
5400,20,full,0.6489435434341431,0.2354482114315033,0.47979936003685,0.6881925463676453,0.29830724000930786,0.328526109457016
5600,13,full,0.6366857886314392,0.27850341796875,0.4639891982078552,0.6203261017799377,0.4097535014152527,0.20714370906352997
5800,9,full,0.5986051559448242,0.3307342529296875,0.518746554851532,0.6641184687614441,0.37538963556289673,0.4425344467163086
6000,7,full,0.5962037444114685,0.3519541621208191,0.5125267505645752,0.6894256472587585,0.3874686658382416,0.3333558738231659
6200,20,full,0.6567476987838745,0.244873046875,0.47423309087753296,0.6557506322860718,0.2932712435722351,0.38250190019607544
6400,4,full,0.6347689032554626,0.2270101010799408,0.49443578720092773,0.7397276163101196,0.392509400844574,0.1209004744887352
6600,0,full,0.47619637846946716,0.4605000913143158,0.5893608331680298,0.7371335029602051,0.4851972460746765,0.43915843963623047
6800,18,full,0.6977567672729492,0.2226104736328125,0.44328999519348145,0.6481610536575317,0.33369752764701843,0.1741170883178711
7000,5,full,0.5193413496017456,0.4095866084098816,0.5846095085144043,0.7985875010490417,0.4327910840511322,0.3688409924507141
7200,10,full,0.606984555721283,0.3135223388671875,0.5070359110832214,0.6217730641365051,0.388004869222641,0.45718154311180115
7400,17,full,0.5765970945358276,0.2952168881893158,0.574699878692627,0.7367035746574402,0.4352453351020813,0.4542369246482849
7600,13,full,0.6027132868766785,0.2950693964958191,0.5072011351585388,0.7340512275695801,0.4172816276550293,0.15414747595787048
7800,8,full,0.6001715660095215,0.2806243896484375,0.5210535526275635,0.6908871531486511,0.4865267276763916,0.19935011863708496
8000,24,full,0.6981949210166931,0.2303059995174408,0.4253765046596527,0.6064565181732178,0.29986438155174255,0.23759281635284424
8200,11,full,0.5775723457336426,0.3272603452205658,0.5424102544784546,0.6786885261535645,0.43628692626953125,0.42150020599365234
8400,10,full,0.569495439529419,0.3298085629940033,0.5349862575531006,0.6517337560653687,0.43495965003967285,0.44735097885131836
8600,28,full,0.6477808952331543,0.2864939570426941,0.449537456035614,0.638034999370575,0.3419917821884155,0.2136228084564209
8800,8,full,0.6084420680999756,0.2720591425895691,0.508843183517456,0.6844340562820435,0.4562980532646179,0.20571768283843994
9000,10,full,0.5741299390792847,0.3219655454158783,0.5439871549606323,0.7058638334274292,0.41186508536338806,0.4109784960746765
9200,4,full,0.62447589635849,0.2247467041015625,0.5137010812759399,0.7893559336662292,0.3813968598842621,0.1250101774930954
9400,28,full,0.6395442485809326,0.2873484492301941,0.4842376708984375,0.6894896030426025,0.3502483367919922,0.25690218806266785
9600,24,full,0.7044505476951599,0.236785888671875,0.43253573775291443,0.5966081023216248,0.3089272975921631,0.2796877920627594
9800,1,full,0.5467777252197266,0.3535868525505066,0.5549986362457275,0.7991560697555542,0.4195653796195984,0.2426529824733734
10000,10,full,0.5741583704948425,0.3235982358455658,0.5418468713760376,0.692082405090332,0.4085145890712738,0.43714842200279236
10200,16,full,0.49333852529525757,0.3883209228515625,0.5969504117965698,0.8168306350708008,0.4249001145362854,0.4033080041408539
10400,13,full,0.5803467631340027,0.3093923032283783,0.5294627547264099,0.7520972490310669,0.45810872316360474,0.15340498089790344
10600,28,full,0.6384416818618774,0.310516357421875,0.484636515378952,0.6720455884933472,0.3673642575740814,0.26819276809692383
10800,0,full,0.5115131139755249,0.4065093994140625,0.5912826061248779,0.7677154541015625,0.435415118932724,0.46707677841186523
11000,30,full,0.5618717670440674,0.3129323422908783,0.5816450119018555,0.7674583196640015,0.37973546981811523,0.5169068574905396
11200,4,full,0.6112386584281921,0.23284912109375,0.5385010242462158,0.8207758665084839,0.4149433970451355,0.1196085661649704
11400,21,full,0.7002243995666504,0.2187398374080658,0.44346174597740173,0.6736469268798828,0.3044372797012329,0.16883794963359833
11600,0,full,0.5101987719535828,0.4072825312614441,0.604913592338562,0.7989182472229004,0.4380614161491394,0.46039462089538574
11800,21,full,0.7122297286987305,0.2129262387752533,0.42270731925964355,0.6407941579818726,0.2894951105117798,0.16513335704803467
12000,1,full,0.5355849266052246,0.3733775019645691,0.5553073883056641,0.7840608358383179,0.4537193179130554,0.2183912992477417
12200,1,full,0.5376909971237183,0.3701578974723816,0.5668466091156006,0.8061338663101196,0.4520877003669739,0.2292783260345459
12400,21,full,0.7171348929405212,0.2064921110868454,0.4212164878845215,0.6514143347740173,0.27189916372299194,0.16457690298557281
12600,13,full,0.5801725387573242,0.3027293086051941,0.5375341176986694,0.7856611013412476,0.433316707611084,0.16162905097007751
12800,36,full,0.6239508390426636,0.2851969599723816,0.5081291198730469,0.6588938236236572,0.4128929376602173,0.33557161688804626
13000,16,full,0.5310400724411011,0.3508656919002533,0.5583619475364685,0.7579423785209656,0.40675660967826843,0.3746153712272644
13200,10,full,0.5927469730377197,0.3072662353515625,0.5315595865249634,0.6514179110527039,0.4393504559993744,0.4232442378997803
13400,35,full,0.6288371086120605,0.3002217710018158,0.4938763976097107,0.6599597930908203,0.36795681715011597,0.340548038482666
13600,36,full,0.6231068968772888,0.2825877070426941,0.5016570687294006,0.6515089273452759,0.3952104449272156,0.35077208280563354
13800,21,full,0.7003909349441528,0.1973470151424408,0.4384543299674988,0.6719829440116882,0.292637437582016,0.1681945025920868
14000,29,full,0.6809660196304321,0.2505340576171875,0.44940420985221863,0.6611268520355225,0.3250432014465332,0.19066011905670166
14200,20,full,0.7073163390159607,0.1969502866268158,0.4450058937072754,0.6628100275993347,0.24980944395065308,0.29654037952423096
14400,40,full,0.5347621440887451,0.4255930781364441,0.5379941463470459,0.8148052096366882,0.47125548124313354,0.0319620780646801
14600,42,full,0.4528779685497284,0.5851339101791382,0.6072818636894226,0.7667098045349121,0.5580049157142639,0.33480364084243774
14800,42,full,0.43399783968925476,0.6115061640739441,0.6333831548690796,0.842839241027832,0.5297896862030029,0.34339556097984314
